,district,Seat,Constituency_Title,Candidate_Name,Part,Votes,Total_Valid_Votes,Total_Rejected_Votes,Total_Votes,Total_Registered_Voters,Turnout
792,Attock,Attock-I,NA-55,MOHAMMAD HAFEEZ ULLAH JAN,Tehreek-e-Labbaik Pakistan,25429,0,0,0,0,53.47 %
793,Attock,Attock-I,NA-55,MALIK MIR AFZAL,Pakistan Human Rights Party,269,0,0,0,0,53.47 %
794,Attock,Attock-I,NA-55,TAIMOOR ASLAM,Pakistan Tehreek-e-Insaf Nazriati,977,0,0,0,0,53.47 %
795,Attock,Attock-I,NA-55,SHEIKH AFTAB AHMED,Pakistan Muslim League (N),101773,0,0,0,0,53.47 %
796,Attock,Attock-I,NA-55,ASIF IQBAL,Allah-o-Akbar Tehreek,1111,0,0,0,0,53.47 %
797,Attock,Attock-I,NA-55,SAEED AHMED,Muttahida Majlis-e-Amal Pakistan,11748,0,0,0,0,53.47 %
798,Attock,Attock-II,NA-56,Tahir Sadiq,Pakistan Tehreek-e-Insaf,163325,389806,10143,339949,638937,52.5 %
799,Attock,Attock-II,NA-56,GHULAM ASGHAR,Independent,1559,0,0,0,0,52.5 %
800,Attock,Attock-II,NA-56,MALIK SOHAIL KHAN,Pakistan Muslim League (N),99404,0,0,0,0,52.5 %
801,Attock,Attock-II,NA-56,MEHRAM KHAN,Pakistan Justice & Democratic Party,2615,0,0,0,0,52.5 %
802,Attock,Attock-II,NA-56,SALEEM HAIDER,Pakistan Peoples Party Parliamentarians,38779,0,0,0,0,52.5 %
803,Attock,Attock-II,NA-56,SHEHRYAR KHAN,Independent,21656,0,0,0,0,52.5 %
804,Attock,Attock-II,NA-56,SYED FAISAL MEHMOOD SHAH,Tehreek-e-Labbaik Pakistan,62257,0,0,0,0,52.5 %
805,Rawalpindi,Rawalpindi-I,NA-57,SADAQAT ALI KHAN,Pakistan Tehreek-e-Insaf,136249,322692,3908,326600,590372,55.32 %
806,Rawalpindi,Rawalpindi-I,NA-57,JAVED AKHTER ABBASI,Tehreek-e-Labbaik Pakistan,27693,0,0,0,0,55.32 %
807,Rawalpindi,Rawalpindi-I,NA-57,MEHREEN ANWAR RAJA,Pakistan Peoples Party Parliamentarians,24081,0,0,0,0,55.32 %
808,Rawalpindi,Rawalpindi-I,NA-57,MUHAMMAD MUNEEB SATTI,Pakistan Sunni Tehreek,1135,0,0,0,0,55.32 %
809,Rawalpindi,Rawalpindi-I,NA-57,RAJA TARIQ MEHMOOD JANJUA,Independent,1257,0,0,0,0,55.32 %
810,Rawalpindi,Rawalpindi-I,NA-57,SAMINA SHAHID,Independent,205,0,0,0,0,55.32 %
811,Rawalpindi,Rawalpindi-I,NA-57,SARDAR MOHSIN AKHTER ABBASI,Independent,7369,0,0,0,0,55.32 %
812,Rawalpindi,Rawalpindi-I,NA-57,Shahid Khaqan Abbasi,Pakistan Muslim League (N),124703,0,0,0,0,55.32 %
813,Rawalpindi,Rawalpindi-II,NA-58,Raja Pervaiz Ashraf,Pakistan Peoples Party Parliamentarians,125090,328150,10582,338732,629386,53.82 %
814,Rawalpindi,Rawalpindi-II,NA-58,Choudhary Muhammad Azeem,Pakistan Tehreek-e-Insaf,96574,0,0,0,0,53.82 %
815,Rawalpindi,Rawalpindi-II,NA-58,Mehmood Hussain Shaiq,Muttahida Majlis-e-Amal Pakistan,1960,0,0,0,0,53.82 %
816,Rawalpindi,Rawalpindi-II,NA-58,Muhammad Akash Bhatti,Independent,2088,0,0,0,0,53.82 %
817,Rawalpindi,Rawalpindi-II,NA-58,Muhammad Ramzan Awan,Tehreek-e-Labbaik Pakistan,23428,0,0,0,0,53.82 %
818,Rawalpindi,Rawalpindi-II,NA-58,Mukhtar Ali,Tehreek-e-Labbaik Islam,2468,0,0,0,0,53.82 %
819,Rawalpindi,Rawalpindi-II,NA-58,Raja Muhammad Javed Ikhlas,Pakistan Muslim League (N),72620,0,0,0,0,53.82 %
820,Rawalpindi,Rawalpindi-II,NA-58,Riaz Mehmood Mughal,Independent,368,0,0,0,0,53.82 %
821,Rawalpindi,Rawalpindi-II,NA-58,Tariq Mehmood,Independent,397,0,0,0,0,53.82 %
822,Rawalpindi,Rawalpindi-II,NA-58,Zafar Mehmood Chaudhary,Independent,3157,0,0,0,0,53.82 %
823,Rawalpindi,Rawalpindi-III,NA-59,Ghulam Sarwar Khan,Pakistan Tehreek-e-Insaf,89055,202313,7661,209974,357199,58.78 %
824,Rawalpindi,Rawalpindi-III,NA-59,Ajmal Sabir Raja,Independent,0,0,0,0,0,58.78 %
825,Rawalpindi,Rawalpindi-III,NA-59,CH NISAR ALI KHAN,Independent,66369,0,0,0,0,58.78 %
826,Rawalpindi,Rawalpindi-III,NA-59,Chaudhry Muhammad Kamran Ali Khan,Pakistan Peoples Party Parliamentarians,4830,0,0,0,0,58.78 %
827,Rawalpindi,Rawalpindi-III,NA-59,Malik Muhammad Taj,Tehreek-e-Labbaik Pakistan,14320,0,0,0,0,58.78 %
828,Rawalpindi,Rawalpindi-III,NA-59,Molana Abdul Ghafar Ghufari Toheedi,Muttahida Majlis-e-Amal Pakistan,1506,0,0,0,0,58.78 %
829,Rawalpindi,Rawalpindi-III,NA-59,Muhammad Ameen Khan,Independent,606,0,0,0,0,58.78 %
830,Rawalpindi,Rawalpindi-III,NA-59,Raja Qamar Ul Islam,Pakistan Muslim League (N),21754,0,0,0,0,58.78 %
831,Rawalpindi,Rawalpindi-III,NA-59,Safdar Ali Khan,Independent,3272,0,0,0,0,58.78 %
832,Rawalpindi,Rawalpindi-III,NA-59,Tariq Bashir Raja,Independent,601,0,0,0,0,58.78 %
833,Rawalpindi,Rawalpindi-V,NA-61,Aamir Mehmood Kiani,Pakistan Tehreek-e-Insaf,105000,186062,2898,188980,367782,51.38 %
834,Rawalpindi,Rawalpindi-V,NA-61,Aizaz Asif,Independent,181,0,0,0,0,51.38 %
835,Rawalpindi,Rawalpindi-V,NA-61,Ejaz Husain,All Pakistan Muslim League,252,0,0,0,0,51.38 %
836,Rawalpindi,Rawalpindi-V,NA-61,Faheem Raza,Allah-o-Akbar Tehreek,913,0,0,0,0,51.38 %
837,Rawalpindi,Rawalpindi-V,NA-61,Farid Hussain Kaif,Independent,61,0,0,0,0,51.38 %
838,Rawalpindi,Rawalpindi-V,NA-61,hina manzoor,Front National (Pakistan),233,0,0,0,0,51.38 %
839,Rawalpindi,Rawalpindi-V,NA-61,Ibrar Ahmed,Pakistan Muslim League (N),60125,0,0,0,0,51.38 %
840,Rawalpindi,Rawalpindi-V,NA-61,Mian Zafar Yaseen,Muttahida Majlis-e-Amal Pakistan,3899,0,0,0,0,51.38 %
841,Rawalpindi,Rawalpindi-V,NA-61,Muhammad Gulzar,Pakistan Peoples Party Parliamentarians,2653,0,0,0,0,51.38 %
842,Rawalpindi,Rawalpindi-V,NA-61,Muhammad Nabi,Awami National Party,165,0,0,0,0,51.38 %
843,Rawalpindi,Rawalpindi-V,NA-61,Muhammad Shabir Awan,Independent,120,0,0,0,0,51.38 %
844,Rawalpindi,Rawalpindi-V,NA-61,nasir Mehmood,Pakistan Awami League,281,0,0,0,0,51.38 %
845,Rawalpindi,Rawalpindi-V,NA-61,Raja Jahandad,Independent,1803,0,0,0,0,51.38 %
846,Rawalpindi,Rawalpindi-V,NA-61,Raja Khawar Bashir,Independent,74,0,0,0,0,51.38 %
847,Rawalpindi,Rawalpindi-V,NA-61,Razaq Mehmood Bhatti,Pak Sarzameen Party,145,0,0,0,0,51.38 %
848,Rawalpindi,Rawalpindi-V,NA-61,shabir Hussain,Independent,541,0,0,0,0,51.38 %
849,Rawalpindi,Rawalpindi-V,NA-61,Shaukat Rasheed Butt,Independent,333,0,0,0,0,51.38 %
850,Rawalpindi,Rawalpindi-V,NA-61,syed Shahid Parvez,Tehreek-e-Labbaik Pakistan,9246,0,0,0,0,51.38 %
851,Rawalpindi,Rawalpindi-V,NA-61,Ziad Khaliq Kiani,Independent,32,0,0,0,0,51.38 %
852,Rawalpindi,Rawalpindi-VI,NA-62,SHEIKH RASHID AHMED,Awami Muslim League Pakistan,117719,231691,3859,235560,452930,52.01 %
853,Rawalpindi,Rawalpindi-VI,NA-62,SUMAIRA GUL,Pakistan Peoples Party Parliamentarians,5583,0,0,0,0,52.01 %
854,Rawalpindi,Rawalpindi-VI,NA-62,MAKHDOOM M NIAZ INQLABI,Independent,240,0,0,0,0,52.01 %
855,Rawalpindi,Rawalpindi-VI,NA-62,ASGHAR ALI MUBARAK,Pakistan Awami League,1157,0,0,0,0,52.01 %
856,Rawalpindi,Rawalpindi-VI,NA-62,CH QADEER AHMED,Tehreek-e-Labbaik Pakistan,9356,0,0,0,0,52.01 %
857,Rawalpindi,Rawalpindi-VI,NA-62,TARIQ MUNIR,Muttahida Majlis-e-Amal Pakistan,3719,0,0,0,0,52.01 %
858,Rawalpindi,Rawalpindi-VI,NA-62,DANYAL CHAUDHRY,Pakistan Muslim League (N),91312,0,0,0,0,52.01 %
859,Rawalpindi,Rawalpindi-VI,NA-62,GHULAM MUSTAFA,Barabri Party Pakistan,86,0,0,0,0,52.01 %
860,Rawalpindi,Rawalpindi-VI,NA-62,MUHAMMAD ASIF KHAN,Independent,97,0,0,0,0,52.01 %
861,Rawalpindi,Rawalpindi-VI,NA-62,YASIR MEHMOOD,Independent,120,0,0,0,0,52.01 %
862,Rawalpindi,Rawalpindi-VI,NA-62,SHAHZADA IMRAN,Independent,1927,0,0,0,0,52.01 %
863,Rawalpindi,Rawalpindi-VI,NA-62,MUHAMMAD FAROOQ,Pakistan Welfare Party,369,0,0,0,0,52.01 %
864,Rawalpindi,Rawalpindi-VII,NA-63,Ghulam Sarwar Khan,Pakistan Tehreek-e-Insaf,100986,211826,3843,215669,370967,58.14 %
865,Rawalpindi,Rawalpindi-VII,NA-63,CH NISAR ALI KHAN,Independent,65767,0,0,0,0,58.14 %
866,Rawalpindi,Rawalpindi-VII,NA-63,Muhammad Ejaz Ahmed,Tehreek-e-Labbaik Pakistan,9744,0,0,0,0,58.14 %
867,Rawalpindi,Rawalpindi-VII,NA-63,Muhammad Sarwar,Independent,4286,0,0,0,0,58.14 %
868,Rawalpindi,Rawalpindi-VII,NA-63,Muhammad Waqas Khan,Muttahida Majlis-e-Amal Pakistan,4630,0,0,0,0,58.14 %
869,Rawalpindi,Rawalpindi-VII,NA-63,Mumtaz Khan,Pakistan Muslim League (N),22966,0,0,0,0,58.14 %
870,Rawalpindi,Rawalpindi-VII,NA-63,Syed Ishrat Ali Zaida,Pakistan Peoples Party Parliamentarians,2833,0,0,0,0,58.14 %
871,Rawalpindi,Rawalpindi-VII,NA-63,Tahir Mehmood,Independent,614,0,0,0,0,58.14 %
872,Chakwal,Chakwal-I,NA-64,ZULFIQAR ALI KHAN,Pakistan Tehreek-e-Insaf,155214,311355,9039,320394,551011,58.15 %
873,Chakwal,Chakwal-I,NA-64,AAJ MUHAMMAD,Pashtoonkhwa Milli Awami Party,101,0,0,0,0,58.15 %
874,Chakwal,Chakwal-I,NA-64,ABDUL NISAR,Allah-o-Akbar Tehreek,1981,0,0,0,0,58.15 %
875,Chakwal,Chakwal-I,NA-64,IMRAN QAISER ABBAS,Pakistan Tehreek-e-Insaf Nazriati,557,0,0,0,0,58.15 %
876,Chakwal,Chakwal-I,NA-64,JABBAR AHMED,Pakistan Peoples Party Parliamentarians,8241,0,0,0,0,58.15 %
877,Chakwal,Chakwal-I,NA-64,MUHAMMAD TUFAIL,Pakistan Tehreek-e-Insaniat,98,0,0,0,0,58.15 %
878,Chakwal,Chakwal-I,NA-64,NAEEM ASGHAR MALIK,Independent,83,0,0,0,0,58.15 %
879,Chakwal,Chakwal-I,NA-64,SYED IMRAN HUSSAIN BUKHARI,Muttahida Majlis-e-Amal Pakistan,1310,0,0,0,0,58.15 %
880,Chakwal,Chakwal-I,NA-64,SYED TASSADUQ MANZOOR,Tehreek-e-Labbaik Pakistan,13719,0,0,0,0,58.15 %
881,Chakwal,Chakwal-I,NA-64,TAHIR IQBAL,Pakistan Muslim League (N),130051,0,0,0,0,58.15 %
882,Chakwal,Chakwal-II,NA-65,Parvez Elahi,Pakistan Muslim League,157497,306975,9907,316882,552523,57.35 %
883,Chakwal,Chakwal-II,NA-65,Hashim Khan,Pakistan Peoples Party Parliamentarians,3250,0,0,0,0,57.35 %
884,Chakwal,Chakwal-II,NA-65,Muhammad Aamir,Pakistan Justice & Democratic Party,821,0,0,0,0,57.35 %
885,Chakwal,Chakwal-II,NA-65,Muhammad Faez Malik,Pakistan Muslim League (N),106081,0,0,0,0,57.35 %
886,Chakwal,Chakwal-II,NA-65,Muhammad Hameed Ullah,Muttahida Majlis-e-Amal Pakistan,2880,0,0,0,0,57.35 %
887,Chakwal,Chakwal-II,NA-65,Muhammad Jahangir Malik,Independent,507,0,0,0,0,57.35 %
888,Chakwal,Chakwal-II,NA-65,Muhammad Yaqoob,Tehreek-e-Labbaik Pakistan,23839,0,0,0,0,57.35 %
889,Chakwal,Chakwal-II,NA-65,Mulazim Hussain,Independent,1051,0,0,0,0,57.35 %
890,Chakwal,Chakwal-II,NA-65,Sardar Mansoor Hayat Tamman,Independent,11049,0,0,0,0,57.35 %
891,Jhelum,Jhelum-I,NA-66,CHAUDHARY FARRUKH ALTAF,Pakistan Tehreek-e-Insaf,112356,269646,11513,281159,541296,51.94 %
892,Jhelum,Jhelum-I,NA-66,CHAUDHARY MUHAMMAD SAQLAIN,Independent,26072,0,0,0,0,51.94 %
893,Jhelum,Jhelum-I,NA-66,CHAUDHARY NADEEM KHADIM,Pakistan Muslim League (N),92912,0,0,0,0,51.94 %
894,Jhelum,Jhelum-I,NA-66,CHAUDHARY TASNEEM NASIR,Pakistan Peoples Party Parliamentarians,5023,0,0,0,0,51.94 %
895,Jhelum,Jhelum-I,NA-66,FAISAL FAREED,Independent,1211,0,0,0,0,51.94 %
896,Jhelum,Jhelum-I,NA-66,KHALID TANVEER,Tehreek-e-Labbaik Pakistan,29556,0,0,0,0,51.94 %
897,Jhelum,Jhelum-I,NA-66,MEHBOOB ALI MUJAHID,Muttahida Majlis-e-Amal Pakistan,1314,0,0,0,0,51.94 %
898,Jhelum,Jhelum-I,NA-66,SHAMIM AKHTAR,Independent,334,0,0,0,0,51.94 %
899,Jhelum,Jhelum-I,NA-66,SYED ALI ABBAS,Barabri Party Pakistan,868,0,0,0,0,51.94 %
900,Jhelum,Jhelum-II,NA-67,Fawad Ahmed,Pakistan Tehreek-e-Insaf,93102,205262,4409,209671,404212,51.87 %
901,Jhelum,Jhelum-II,NA-67,Syed Nauman Shah,Tehreek-e-Labbaik Pakistan,16286,0,0,0,0,51.87 %
902,Jhelum,Jhelum-II,NA-67,Shahid Kamal Mirza,All Pakistan Muslim League,101,0,0,0,0,51.87 %
903,Jhelum,Jhelum-II,NA-67,Nawabzada Syed Shams Haider,Independent,1068,0,0,0,0,51.87 %
904,Jhelum,Jhelum-II,NA-67,Syed Fakhar Haider,Pakistan Justice & Democratic Party,426,0,0,0,0,51.87 %
905,Jhelum,Jhelum-II,NA-67,Ch Muhammad Saqlain,Independent,100,0,0,0,0,51.87 %
906,Jhelum,Jhelum-II,NA-67,Abrar Hussain,Independent,79,0,0,0,0,51.87 %
907,Jhelum,Jhelum-II,NA-67,FAISAL FAREED,Independent,1142,0,0,0,0,51.87 %
908,Jhelum,Jhelum-II,NA-67,Raja Matloob Mehdi,Pakistan Muslim League (N),82475,0,0,0,0,51.87 %
909,Jhelum,Jhelum-II,NA-67,Muhammad Zia ul Haq,Muttahida Majlis-e-Amal Pakistan,549,0,0,0,0,51.87 %
910,Jhelum,Jhelum-II,NA-67,Saqib Hamid,Independent,3697,0,0,0,0,51.87 %
911,Jhelum,Jhelum-II,NA-67,Muhamamd Fayaz Ashraf,Pakistan Peoples Party Parliamentarians,2618,0,0,0,0,51.87 %
912,Jhelum,Jhelum-II,NA-67,Mushtaq ahmed,Independent,1035,0,0,0,0,51.87 %
913,Jhelum,Jhelum-II,NA-67,Diwan Hashmat Hayat,Independent,1002,0,0,0,0,51.87 %
914,Jhelum,Jhelum-II,NA-67,Adeel Ahmed,Allah-o-Akbar Tehreek,1582,0,0,0,0,51.87 %
915,Gujrat,Gujrat-I,NA-68,Hussain Elahi,Pakistan Muslim League,104678,234318,6334,240652,453990,53.01 %
916,Gujrat,Gujrat-I,NA-68,Azhar Iqbal Choudary,Pakistan Peoples Party Parliamentarians,3232,0,0,0,0,53.01 %
917,Gujrat,Gujrat-I,NA-68,Muhammad Asghar,Independent,386,0,0,0,0,53.01 %
918,Gujrat,Gujrat-I,NA-68,Muhammad Mahmood Qadri,Tehreek-e-Labbaik Pakistan,43831,0,0,0,0,53.01 %
919,Gujrat,Gujrat-I,NA-68,Munawar Iqbal Bhumla,Independent,256,0,0,0,0,53.01 %
920,Gujrat,Gujrat-I,NA-68,Mubashar Majeed Butt,Independent,1381,0,0,0,0,53.01 %
921,Gujrat,Gujrat-I,NA-68,Rizwan Hussain,Independent,7870,0,0,0,0,53.01 %
922,Gujrat,Gujrat-I,NA-68,Nawabzada Ghazanfar Ali Gul,Pakistan Muslim League (N),68810,0,0,0,0,53.01 %
923,Gujrat,Gujrat-I,NA-68,Khurram Shahzad,Pakistan Awami Raj,852,0,0,0,0,53.01 %
924,Gujrat,Gujrat-I,NA-68,Mubashar Ul Hassan,Independent,656,0,0,0,0,53.01 %
925,Gujrat,Gujrat-I,NA-68,Zubair Ahmad,Muttahida Majlis-e-Amal Pakistan,2366,0,0,0,0,53.01 %
926,Gujrat,Gujrat-II,NA-69,Parvez Elahi,Pakistan Muslim League,122336,212770,5030,217800,467378,46.6 %
927,Gujrat,Gujrat-II,NA-69,Ahmed Farhan Khan,Independent,151,0,0,0,0,46.6 %
928,Gujrat,Gujrat-II,NA-69,Ch Mubasher Hussain,Pakistan Muslim League (N),49295,0,0,0,0,46.6 %
929,Gujrat,Gujrat-II,NA-69,Ch Zahoor Elahi,Independent,4504,0,0,0,0,46.6 %
930,Gujrat,Gujrat-II,NA-69,Iftikhar Ahmed Warraich,All Pakistan Muslim League,432,0,0,0,0,46.6 %
931,Gujrat,Gujrat-II,NA-69,Muhamamd Latif Malik,Independent,213,0,0,0,0,46.6 %
932,Gujrat,Gujrat-II,NA-69,Muhammad Azam,Independent,1259,0,0,0,0,46.6 %
933,Gujrat,Gujrat-II,NA-69,Raja Salamat Ali,Tehreek-e-Labbaik Pakistan,27791,0,0,0,0,46.6 %
934,Gujrat,Gujrat-II,NA-69,Shaikh Mansoor Khurshid,Independent,106,0,0,0,0,46.6 %
935,Gujrat,Gujrat-II,NA-69,Syed Shoukat Kamal,Pakistan Peoples Party (Shaheed Bhutto),139,0,0,0,0,46.6 %
936,Gujrat,Gujrat-II,NA-69,Thekadar Haji Khalid Mehmood,Pakistan Quami Yakjehti Party,204,0,0,0,0,46.6 %
937,Gujrat,Gujrat-II,NA-69,Wazir un Nisa,Pakistan Peoples Party Parliamentarians,6035,0,0,0,0,46.6 %
938,Gujrat,Gujrat-II,NA-69,Zahid Khan,Independent,305,0,0,0,0,46.6 %
939,Gujrat,Gujrat-III,NA-70,Syed Faiz ul Hassan,Pakistan Tehreek-e-Insaf,95168,235525,10559,246084,494780,49.74 %
940,Gujrat,Gujrat-III,NA-70,Adnan Asim,Tehreek-e-Labbaik Pakistan,21276,0,0,0,0,49.74 %
941,Gujrat,Gujrat-III,NA-70,Jaffar Iqbal,Pakistan Muslim League (N),67233,0,0,0,0,49.74 %
942,Gujrat,Gujrat-III,NA-70,Mian Intazar Hussain,Independent,128,0,0,0,0,49.74 %
943,Gujrat,Gujrat-III,NA-70,Mian Muhammad Akram,Independent,422,0,0,0,0,49.74 %
944,Gujrat,Gujrat-III,NA-70,Muhammad Usman Aslam,Independent,618,0,0,0,0,49.74 %
945,Gujrat,Gujrat-III,NA-70,Qamar Zaman kaira,Pakistan Peoples Party Parliamentarians,42508,0,0,0,0,49.74 %
946,Gujrat,Gujrat-III,NA-70,Syed Mubashar Hussain Shah,Tehreek-e-Labbaik Islam,4664,0,0,0,0,49.74 %
947,Gujrat,Gujrat-III,NA-70,Tahir Zaman,Independent,3508,0,0,0,0,49.74 %
948,Gujrat,Gujrat-IV,NA-71,Chaudhry Abid Raza,Pakistan Muslim League (N),88588,246856,6244,253100,497500,50.87 %
949,Gujrat,Gujrat-IV,NA-71,Ali Asghar,Independent,2203,0,0,0,0,50.87 %
950,Gujrat,Gujrat-IV,NA-71,Asif Raza,Independent,75,0,0,0,0,50.87 %
951,Gujrat,Gujrat-IV,NA-71,Ch Muhammad Zahid Farooq,Pakistan Quami Yakjehti Party,117,0,0,0,0,50.87 %
952,Gujrat,Gujrat-IV,NA-71,Fahad Ilyas Choudhry,Independent,279,0,0,0,0,50.87 %
953,Gujrat,Gujrat-IV,NA-71,Muhammad Hanif Malik,Independent,36899,0,0,0,0,50.87 %
954,Gujrat,Gujrat-IV,NA-71,Muhammad Ilyas Choudhary,Pakistan Tehreek-e-Insaf,81538,0,0,0,0,50.87 %
955,Gujrat,Gujrat-IV,NA-71,Nadeem Ashiq,Pakistan Peoples Party Parliamentarians,1738,0,0,0,0,50.87 %
956,Gujrat,Gujrat-IV,NA-71,Naeem Ahmed,Tehreek-e-Labbaik Pakistan,29527,0,0,0,0,50.87 %
957,Gujrat,Gujrat-IV,NA-71,Naeem Raza,Independent,3199,0,0,0,0,50.87 %
958,Gujrat,Gujrat-IV,NA-71,Shabbir Ahmad,Independent,5,0,0,0,0,50.87 %
959,Gujrat,Gujrat-IV,NA-71,Shahbaz Khan,Independent,520,0,0,0,0,50.87 %
960,Gujrat,Gujrat-IV,NA-71,Syed Mubashar Hussain Shah,Tehreek-e-Labbaik Islam,1297,0,0,0,0,50.87 %
961,Gujrat,Gujrat-IV,NA-71,Syed Zia Ulla,Independent,771,0,0,0,0,50.87 %
962,Sialkot,Sialkot-I,NA-72,CHAUDHRY ARMGHAN SUBHANI,Pakistan Muslim League (N),129041,252907,7015,259922,447309,58.11 %
963,Sialkot,Sialkot-I,NA-72,FIRDOUS ASHIQ,Pakistan Tehreek-e-Insaf,91393,0,0,0,0,58.11 %
964,Sialkot,Sialkot-I,NA-72,KHURRAM IJAZ,Independent,1365,0,0,0,0,58.11 %
965,Sialkot,Sialkot-I,NA-72,MIAN ABID JAVED,Independent,376,0,0,0,0,58.11 %
966,Sialkot,Sialkot-I,NA-72,MIAN NAEEM JAVED,Independent,4817,0,0,0,0,58.11 %
967,Sialkot,Sialkot-I,NA-72,NASAR ULLAH,Allah-o-Akbar Tehreek,2483,0,0,0,0,58.11 %
968,Sialkot,Sialkot-I,NA-72,PERVEEN AKHTAR,Muttahida Majlis-e-Amal Pakistan,539,0,0,0,0,58.11 %
969,Sialkot,Sialkot-I,NA-72,SYED ABBAS ALI SHAH,Tehreek-e-Labbaik Pakistan,19731,0,0,0,0,58.11 %
970,Sialkot,Sialkot-I,NA-72,SYED ISHTIAQ UL HASSAN GILANI,Pakistan Peoples Party Parliamentarians,2639,0,0,0,0,58.11 %
971,Sialkot,Sialkot-I,NA-72,TARIQ SUBHANI,Independent,523,0,0,0,0,58.11 %
972,Sialkot,Sialkot-II,NA-73,Khawaja Muhammad Asif,Pakistan Muslim League (N),116957,246537,7386,253923,488393,51.99 %
973,Sialkot,Sialkot-II,NA-73,Muhammad Imran Dar,Independent,102,0,0,0,0,51.99 %
974,Sialkot,Sialkot-II,NA-73,Muhammad Asif,Independent,498,0,0,0,0,51.99 %
975,Sialkot,Sialkot-II,NA-73,Jahangir Rashid,Pakistan Sunni Tehreek,336,0,0,0,0,51.99 %
976,Sialkot,Sialkot-II,NA-73,Chaudhry Mohammad Sarwar,Muttahida Qaumi Movement Pakistan,125,0,0,0,0,51.99 %
977,Sialkot,Sialkot-II,NA-73,Arif Mahmood,Independent,444,0,0,0,0,51.99 %
978,Sialkot,Sialkot-II,NA-73,Imran Ashraf,Independent,987,0,0,0,0,51.99 %
979,Sialkot,Sialkot-II,NA-73,Muhammad Usman Dar,Pakistan Tehreek-e-Insaf,115464,0,0,0,0,51.99 %
980,Sialkot,Sialkot-II,NA-73,Rana Muhammad Naeem Javid,Tehreek-e-Labbaik Pakistan,9953,0,0,0,0,51.99 %
981,Sialkot,Sialkot-II,NA-73,Zarrar Mahmood Malik,Pakistan Peoples Party Parliamentarians,1673,0,0,0,0,51.99 %
982,Sialkot,Sialkot-III,NA-74,Ali Zahid,Pakistan Muslim League (N),97235,254678,8928,263807,475866,55.4 %
983,Sialkot,Sialkot-III,NA-74,Chaudhary Muhammad Akbar,Independent,840,0,0,0,0,55.4 %
984,Sialkot,Sialkot-III,NA-74,GHULAM ABBAS,Pakistan Tehreek-e-Insaf,93734,0,0,0,0,55.4 %
985,Sialkot,Sialkot-III,NA-74,Liaqat Ali,Independent,421,0,0,0,0,55.4 %
986,Sialkot,Sialkot-III,NA-74,MANSOOR SARWAR KHAN,Independent,358,0,0,0,0,55.4 %
987,Sialkot,Sialkot-III,NA-74,Mohsin Ikram,Muttahida Majlis-e-Amal Pakistan,1858,0,0,0,0,55.4 %
988,Sialkot,Sialkot-III,NA-74,MUHAMMAD ASIF BAJWA,Independent,4930,0,0,0,0,55.4 %
989,Sialkot,Sialkot-III,NA-74,MUHAMMAD IQBAL,Independent,337,0,0,0,0,55.4 %
990,Sialkot,Sialkot-III,NA-74,MUNAWAR AHMED GILL,Independent,18045,0,0,0,0,55.4 %
991,Sialkot,Sialkot-III,NA-74,NARGIS FAIZ MALIK,Pakistan Peoples Party Parliamentarians,2625,0,0,0,0,55.4 %
992,Sialkot,Sialkot-III,NA-74,SHUJAAT ALI,Tehreek-e-Labbaik Pakistan,34295,0,0,0,0,55.4 %
993,Sialkot,Sialkot-IV,NA-75,Syed Iftikhar Ul Hassan,Pakistan Muslim League (N),101617,245754,7269,253023,453104,55.84 %
994,Sialkot,Sialkot-IV,NA-75,Arslan Zafar,Tehreek-e-Labbaik Pakistan,14772,0,0,0,0,55.84 %
995,Sialkot,Sialkot-IV,NA-75,Kashan Haider,Muttahida Majlis-e-Amal Pakistan,1656,0,0,0,0,55.84 %
996,Sialkot,Sialkot-IV,NA-75,Usman Abid,Independent,57571,0,0,0,0,55.84 %
997,Sialkot,Sialkot-IV,NA-75,Abdul Rauf,Independent,148,0,0,0,0,55.84 %
998,Sialkot,Sialkot-IV,NA-75,Ali Asjad Malhi,Pakistan Tehreek-e-Insaf,61432,0,0,0,0,55.84 %
999,Sialkot,Sialkot-IV,NA-75,Abdul waheed Meo,Independent,2630,0,0,0,0,55.84 %
1000,Sialkot,Sialkot-IV,NA-75,Muhammad Atiq Rafiq,Independent,434,0,0,0,0,55.84 %
1001,Sialkot,Sialkot-IV,NA-75,Zaheer Ul Hassan Rizvi,Pakistan Peoples Party Parliamentarians,4163,0,0,0,0,55.84 %
1002,Sialkot,Sialkot-IV,NA-75,Rauf Ahmed Bajwa,Independent,1107,0,0,0,0,55.84 %
1003,Sialkot,Sialkot-IV,NA-75,Chaudhry Mumtaz Ali,Independent,224,0,0,0,0,55.84 %
1004,Sialkot,Sialkot-V,NA-76,Rana Shamim Ahmed Khan,Pakistan Muslim League (N),133664,264954,6025,270979,469826,57.68 %
1005,Sialkot,Sialkot-V,NA-76,CH Khaleeq Ur Rehman,Allah-o-Akbar Tehreek,2800,0,0,0,0,57.68 %
1006,Sialkot,Sialkot-V,NA-76,Ch Muhammad Amin,Tehreek-e-Labbaik Pakistan,16872,0,0,0,0,57.68 %
1007,Sialkot,Sialkot-V,NA-76,Mudashar Saleem Baryar,Independent,10803,0,0,0,0,57.68 %
1008,Sialkot,Sialkot-V,NA-76,Muhammad Aslam,Pakistan Tehreek-e-Insaf,93190,0,0,0,0,57.68 %
